"timestamp","sky","ground","delta"
"2022-01-26 12:09:58.676065",1.0,2.0,1.0
"2022-01-26 12:10:03.556095",1.0,2.0,1.0
"2022-01-26 12:10:08.435929",1.0,2.0,1.0
"2022-01-26 12:10:13.316085",1.0,2.0,1.0
"2022-01-26 12:10:18.207469",1.0,2.0,1.0
"2022-01-26 12:10:23.076063",1.0,2.0,1.0
"2022-01-26 12:10:27.955499",1.0,2.0,1.0
"2022-01-26 12:10:32.836201",2.0,2.0,0.0
"2022-01-26 12:10:37.715662",2.0,2.0,0.0
"2022-01-26 12:10:42.596069",2.0,2.0,0.0
"2022-01-26 12:10:47.476235",2.0,2.0,0.0
"2022-01-26 12:10:52.355445",2.0,2.0,0.0
"2022-01-26 12:10:57.235933",2.0,2.0,0.0
"2022-01-26 12:11:02.117112",2.0,2.0,0.0
"2022-01-26 12:11:06.995547",2.0,2.0,0.0
"2022-01-26 12:11:11.876092",2.0,2.0,0.0
"2022-01-26 12:11:16.769715",1.0,2.0,1.0
"2022-01-26 12:11:21.636062",2.0,2.0,0.0
"2022-01-26 12:11:26.516062",1.0,2.0,1.0
"2022-01-26 12:11:31.396067",1.0,2.0,1.0
"2022-01-26 12:11:36.276069",1.0,2.0,1.0
"2022-01-26 12:11:41.156299",0.0,2.0,2.0
"2022-01-26 12:11:46.035448",0.0,2.0,2.0
"2022-01-26 12:11:50.916083",0.0,2.0,2.0
"2022-01-26 12:11:55.805745",0.0,2.0,2.0
"2022-01-26 12:12:00.676392",-0.0,2.0,2.0
"2022-01-26 12:12:05.555885",-0.0,2.0,2.0
"2022-01-26 12:12:10.436063",0.0,2.0,2.0
"2022-01-26 12:12:15.316112",0.0,2.0,2.0
"2022-01-26 12:12:20.195907",0.0,2.0,2.0
"2022-01-26 12:12:25.075444",-0.0,2.0,2.0
"2022-01-26 12:12:29.965982",-0.0,2.0,2.0
"2022-01-26 12:12:34.836115",-0.0,2.0,2.0
"2022-01-26 12:12:39.716070",0.0,2.0,2.0
"2022-01-26 12:12:44.596065",0.0,2.0,2.0
"2022-01-26 12:12:49.476071",1.0,2.0,1.0
